12195041;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE SVELTYCALCIUM SMDESCR CJX8X672GR4;LECHE SVELTYCALCIUM SMDESCR CJX8X672GR4;148100;0;18900
12320385;NESTLE DE COLOMBIA S.A.; LECHES RODEO;LECHE RODEO C/HIERRO  CJX12X1200GR;LECHE RODEO C/HIERRO  CJX12X1200GR;247650;0;21100
12044063;NESTLE DE COLOMBIA S.A.; LECHES RODEO;LECHE RODEO C/HIERRO 12X900;LECHE RODEO C/HIERRO 12X900;195500;0;16700
12044062;NESTLE DE COLOMBIA S.A.; LECHES RODEO;LECHE RODEO CJX30X380GR;LECHE RODEO CJX30X380GR;220300;0;7500
12044060;NESTLE DE COLOMBIA S.A.; LECHES RODEO;LECHE RODEO CON HIERRO 60X200GR;LECHE RODEO CON HIERRO 60X200GR;254900;0;4350
12369962;NESTLE DE COLOMBIA S.A.;LECHES CON FORMULA INFANTIL;LECHE NAN 1 PRO OPTIPRO CJX24X400GR;LECHE NAN 1 PRO OPTIPRO CJX24X400GR;1008400;0;42950
12369633;NESTLE DE COLOMBIA S.A.;LECHES CON FORMULA INFANTIL;LECHE NAN PRO 2 CJX24X400GR;LECHE NAN PRO 2 CJX24X400GR;841200;0;35850
12327720;NESTLE DE COLOMBIA S.A.;LECHES CON FORMULA INFANTIL;LECHE NESTOGENO 1 CJX24X400GR;LECHE NESTOGENO 1 CJX24X400GR;512400;0;21850
12327708;NESTLE DE COLOMBIA S.A.;LECHES CON FORMULA INFANTIL;LECHE NESTOGENO 2 CXX24X400GR;LECHE NESTOGENO 2 CXX24X400GR;474500;0;20200
12273664;NESTLE DE COLOMBIA S.A.;LECHES CON FORMULA INFANTIL;NESTOGENO CJX8X135GRS;NESTOGENO CJX8X135GRS;42600;0;5600
12249833;NESTLE DE COLOMBIA S.A.; CAFE DOLCA;CAFE DOLCA BDJAX24X50GR JARRA;CAFE DOLCA BDJAX24X50GR JARRA;88750;0;3800
12250215;NESTLE DE COLOMBIA S.A.; CAFE DOLCA;CAFE DOLCA JARRA BDJAX12X170 GT 30GR;CAFE DOLCA JARRA BDJAX12X170 GT 30GR;125200;0;10700
12247822;NESTLE DE COLOMBIA S.A.; CAFE DOLCA;CAFE DOLCA JARRA BDJAX12X170GR;CAFE DOLCA JARRA BDJAX12X170GR;125200;0;10700
12247476;NESTLE DE COLOMBIA S.A.; CAFE DOLCA;CAFE DOLCA JARRA BDJAX18X85GR;CAFE DOLCA JARRA BDJAX18X85GR;110300;0;6300
12371032;NESTLE DE COLOMBIA S.A.;CAFE NESCAFE;CAFE DOLCA CJX25XTIRAX12X5.2GR;CAFE DOLCA CJX25XTIRAX12X5.2GR;122600;0;5000
12227574;NESTLE DE COLOMBIA S.A.;CAFE NESCAFE;NESCAFE BDJAX12X170GR JARRA;NESCAFE BDJAX12X170GR JARRA;147900;0;12600
12227575;NESTLE DE COLOMBIA S.A.;CAFE NESCAFE;NESCAFE BDJAX24X50GR JARRA;NESCAFE BDJAX24X50GR JARRA;99650;0;4250
12341800;NESTLE DE COLOMBIA S.A.;CAFE NESCAFE;NESCAFE C/LECHE BOLSA CJX12X200GR;NESCAFE C/LECHE BOLSA CJX12X200GR;74600;0;6400
8801479;NESTLE DE COLOMBIA S.A.;CAFE NESCAFE;NESCAFE C/LECHE BOLSA CX12X450GR;NESCAFE C/LECHE BOLSA CX12X450GR;147100;0;12550
12229674;NESTLE DE COLOMBIA S.A.;CAFE NESCAFE;NESCAFE JARRA BDJAX18X85GR;NESCAFE JARRA BDJAX18X85GR;126300;0;7200
12384872;NESTLE DE COLOMBIA S.A.;CAFE NESCAFE;NESCAFE JARRA CJX6X170GR + MUG;NESCAFE JARRA CJX6X170GR + MUG;73950;0;12600
12050727;NESTLE DE COLOMBIA S.A.;CAFE NESCAFE;NESCAFE RISTRA CJX7X12X25GR;NESCAFE RISTRA CJX7X12X25GR;156250;22800;1900
12302846;NESTLE DE COLOMBIA S.A.;CAFE NESCAFE;NESCAFE STICK CJX24DISPX48;NESCAFE STICK CJX24DISPX48;122450;0;5200
12109130;NESTLE DE COLOMBIA S.A.;CAFE NESCAFE;NESCAFE TRADICION 25XTIRAX12X10GRS;NESCAFE TRADICION 25XTIRAX12X10GRS;232500;0;9500
12343600;NESTLE DE COLOMBIA S.A.;GALLETAS SALADAS NESTLE;GALLETA SALTIN MANTEQ 3 TACOS CJX24X342G;GALLETA SALTIN MANTEQ 3 TACOS CJX24X342G;92700;0;3950
12187121;NESTLE DE COLOMBIA S.A.;GALLETAS SALADAS NESTLE;GALLETA SALTINA DORE PM CJX18X585GR;GALLETA SALTINA DORE PM CJX18X585GR;99100;0;5650
12343601;NESTLE DE COLOMBIA S.A.;GALLETAS SALADAS NESTLE;GALLETA SALTINAS 5 TACOS P/M CJX18X530GR;GALLETA SALTINAS 5 TACOS P/M CJX18X530GR;65400;0;3700
12185335;NESTLE DE COLOMBIA S.A.;GALLETAS SALADAS NESTLE;GALLETA SALTINAS DORE 3 TACOS CJX24X351G;GALLETA SALTINAS DORE 3 TACOS CJX24X351G;87400;0;3750
12185333;NESTLE DE COLOMBIA S.A.;GALLETAS SALADAS NESTLE;GALLETA SALTINAS DORE/MINITACO CJX72;GALLETA SALTINAS DORE/MINITACO CJX72;81300;13900;1200
12343585;NESTLE DE COLOMBIA S.A.;GALLETAS SALADAS NESTLE;GALLETA SALTINAS TENDEROS CJX16XPQTEX6;GALLETA SALTINAS TENDEROS CJX16XPQTEX6;73700;4700;800
12343583;NESTLE DE COLOMBIA S.A.;GALLETAS SALADAS NESTLE;GALLETAS SALTINAS 3 TACOS CJX24X318GR;GALLETAS SALTINAS 3 TACOS CJX24X318GR;67100;0;2900
12319624;NESTLE DE COLOMBIA S.A.;GALLETAS DULCES NESTLE;GALLETA FITNESS AJONJOLI CJX24PQTEX9;GALLETA FITNESS AJONJOLI CJX24PQTEX9;92150;0;3950
12203591;NESTLE DE COLOMBIA S.A.;GALLETAS DULCES NESTLE;GALLETA FITNESS FRUTOS ROJOS CJX24PQTEX6;GALLETA FITNESS FRUTOS ROJOS CJX24PQTEX6;90350;0;3850
12319625;NESTLE DE COLOMBIA S.A.;GALLETAS DULCES NESTLE;GALLETA FITNESS MIEL CJX24PQTEX9;GALLETA FITNESS MIEL CJX24PQTEX9;95950;0;4100
12291748;NESTLE DE COLOMBIA S.A.;GALLETAS DULCES NESTLE;GALLETA LA LECHERA SANDWICH CJX24PQTEX12;GALLETA LA LECHERA SANDWICH CJX24PQTEX12;112200;0;4800
12287989;NESTLE DE COLOMBIA S.A.;GALLETAS DULCES NESTLE;GALLETA MILO ANILLOS CJX24PQTEX12;GALLETA MILO ANILLOS CJX24PQTEX12;114700;0;4900
12312546;NESTLE DE COLOMBIA S.A.;GALLETAS DULCES NESTLE;GALLETA MILO ANILLOS CJX24PQTEX14;GALLETA MILO ANILLOS CJX24PQTEX14;124250;0;5300
12321547;NESTLE DE COLOMBIA S.A.;GALLETAS DULCES NESTLE;GALLETA MILO CHOCO/LECHE CJX24PQTEX14;GALLETA MILO CHOCO/LECHE CJX24PQTEX14;119000;0;5100
12316584;NESTLE DE COLOMBIA S.A.;GALLETAS DULCES NESTLE;GALLETA MILO SANDWICH CJX24X12;GALLETA MILO SANDWICH CJX24X12;112200;0;4800
12310013;NESTLE DE COLOMBIA S.A.;CEREALES NESTLE;CEREAL CORN FLAKES NESTLE CJX20X180GR;CEREAL CORN FLAKES NESTLE CJX20X180GR;93900;0;4800
12362489;NESTLE DE COLOMBIA S.A.;CEREALES NESTLE;CEREAL FITNESS & FRUITS CJX20X380GR;CEREAL FITNESS & FRUITS CJX20X380GR;242200;0;12400
12342705;NESTLE DE COLOMBIA S.A.;CEREALES NESTLE;CEREAL FITNESS CJX10X80GR;CEREAL FITNESS CJX10X80GR;21600;0;2200
12079779;NESTLE DE COLOMBIA S.A.;CEREALES NESTLE;CEREAL FITNESS CJX20X260GR;CEREAL FITNESS CJX20X260GR;164550;0;8400
12079775;NESTLE DE COLOMBIA S.A.;CEREALES NESTLE;CEREAL K.CHOCAPIC CJX20X250;CEREAL K.CHOCAPIC CJX20X250;164850;0;8450
12079773;NESTLE DE COLOMBIA S.A.;CEREALES NESTLE;CEREAL MILO CJX20X250GR;CEREAL MILO CJX20X250GR;147500;0;7550
12353264;NESTLE DE COLOMBIA S.A.;CEREALES NESTLE;CEREAL MILO CJX26X80GR;CEREAL MILO CJX26X80GR;56100;0;2200
12079748;NESTLE DE COLOMBIA S.A.;CEREALES NESTLE;CEREAL TRIX NESTLE CJX20X230GR;CEREAL TRIX NESTLE CJX20X230GR;149300;0;7650
8800362;NESTLE DE COLOMBIA S.A.; BEBIDAS ACHOCOLATADAS NESTLE;MILO NESTLE BDJAX12X200GR;MILO NESTLE BDJAX12X200GR;81700;0;7000
12402481;NESTLE DE COLOMBIA S.A.; BEBIDAS ACHOCOLATADAS NESTLE;MILO NESTLE BDJAX12X475 GTS 75GR;MILO NESTLE BDJAX12X475 GTS 75GR;156700;0;13350
